"ID","Alias","DocumentTitle","Severity","InitialReleaseDate","CurrentReleaseDate","CvrfUrl"
"2016-Apr","2016-Apr","April 2016 Security Updates",,"2016-04-12T07:00:00Z","2018-04-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Apr?api-Version=2016-08-01"
"2016-Aug","2016-Aug","August 2016 Security Updates",,"2016-08-09T07:00:00Z","2017-09-12T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Aug?api-Version=2016-08-01"
"2016-Dec","2016-Dec","December 2016 Security Updates",,"2016-12-13T08:00:00Z","2018-07-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Dec?api-Version=2016-08-01"
"2016-Jan","2016-Jan","January 2016 Security Updates",,"2016-01-12T08:00:00Z","2016-05-25T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Jan?api-Version=2016-08-01"
"2016-Jul","2016-Jul","July 2016 Security Updates",,"2016-07-12T07:00:00Z","2017-09-12T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Jul?api-Version=2016-08-01"
"2016-Jun","2016-Jun","June 2016 Security Updates",,"2016-06-14T07:00:00Z","2017-05-18T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Jun?api-Version=2016-08-01"
"2016-May","2016-May","May 2016 Security Updates",,"2016-05-10T07:00:00Z","2017-05-17T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-May?api-Version=2016-08-01"
"2016-Nov","2016-Nov","November 2016 Security Updates",,"2016-11-08T08:00:00Z","2017-05-31T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Nov?api-Version=2016-08-01"
"2016-Oct","2016-Oct","October 2016 Security Updates",,"2016-10-11T07:00:00Z","2017-09-12T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Oct?api-Version=2016-08-01"
"2016-Sep","2016-Sep","September 2016 Security Updates",,"2016-09-13T07:00:00Z","2017-07-11T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2016-Sep?api-Version=2016-08-01"
"2017-Apr","2017-Apr","April 2017 Security Updates",,"2017-04-11T07:00:00Z","2017-09-13T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2017-Apr?api-Version=2016-08-01"
"2017-Aug","2017-Aug","August 2017 Security Updates",,"2017-08-08T07:00:00Z","2017-10-10T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2017-Aug?api-Version=2016-08-01"
"2017-Dec","2017-Dec","December 2017 Security Updates",,"2017-12-12T08:00:00Z","2019-08-13T07:00:00Z","https://api.msrc.microsoft.com/cvrf/2017-Dec?api-Version=2016-08-01"
