"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Vista Service Pack 2","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Vista x64 Edition Service Pack 2","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","3167679","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3121918"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 for 32-bit Systems","3192440","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185611"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 for x64-based Systems","3192440","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185611"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 Version 1511 for 32-bit Systems","3192441","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185614"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 Version 1511 for x64-based Systems","3192441","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185614"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","3185330","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","3185330","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","3185330","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","3185330","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","3185330","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","3192391","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","3192391","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","3192391","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","3192391","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","3192391","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3175024"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 8.1 for 32-bit systems","3185331","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 8.1 for x64-based systems","3185331","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows RT 8.1","3185331","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 R2","3185331","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","3185331","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 8.1 for 32-bit systems","3192392","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","MS16-016, 3124280; MS16-097, 3178034; MS16-104, 3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 8.1 for x64-based systems","3192392","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","MS16-016, 3124280; MS16-097, 3178034; MS16-104, 3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 R2","3192392","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","MS16-016, 3124280; MS16-097, 3178034; MS16-104, 3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","3192392","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","MS16-016, 3124280; MS16-097, 3178034; MS16-104, 3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","3194798","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3189866"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","3194798","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3189866"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 (Server Core installation)","3185332","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3192393"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012","3185332","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3192393"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012 (Server Core installation)","3192393","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3237","August 2016 Security Updates","2016-10-11T07:00:00Z","Windows Server 2012","3192393","Important","Security Feature Bypass","Kerberos Security Feature Bypass Vulnerability","3185319"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1","3175443","Moderate","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for 32-bit systems","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for x64-based systems","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows RT 8.1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2012 R2","3175443","Moderate","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for 32-bit Systems","3176492","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3163912"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for x64-based Systems","3176492","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3163912"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems","3176493","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3172985"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems","3176493","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3172985"
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems","3176495","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability",
"CVE-2016-3288","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems","3176495","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability",
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1","3175443","Moderate","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for 32-bit systems","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for x64-based systems","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows RT 8.1","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2012 R2","3175443","Moderate","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for 32-bit Systems","3176492","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3163912"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for x64-based Systems","3176492","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3163912"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems","3176492","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3163912"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems","3176492","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3163912"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems","3176493","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3172985"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems","3176493","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3172985"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for 32-bit Systems","3176493","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3172985"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1511 for x64-based Systems","3176493","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3172985"
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems","3176495","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability",
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems","3176495","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability",
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems","3176495","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability",
"CVE-2016-3289","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems","3176495","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability",
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1","3175443","Moderate","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for 32-bit systems","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 8.1 for x64-based systems","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows RT 8.1","3175443","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows Server 2012 R2","3175443","Moderate","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3170106"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for 32-bit Systems","3176492","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3163912"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 for x64-based Systems","3176492","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3163912"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for 32-bit Systems","3176493","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3172985"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1511 for x64-based Systems","3176493","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability","3172985"
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems","3176495","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability",
"CVE-2016-3290","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems","3176495","Critical","Remote Code Execution","Internet Explorer Memory Corruption Vulnerability",
"CVE-2016-3293","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 9 on Windows Vista Service Pack 2","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3293","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 9 on Windows Vista x64 Edition Service Pack 2","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3293","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
"CVE-2016-3293","August 2016 Security Updates","2016-08-09T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","3175443","Critical","Remote Code Execution","Microsoft Browser Memory Corruption Vulnerability","3170106"
