"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 for 32-bit Systems","4019474","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015221"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 for x64-based Systems","4019474","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015221"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 Version 1511 for 32-bit Systems","4019473","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015219"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 Version 1511 for x64-based Systems","4019473","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015219"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4019472","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015217"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4019472","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015217"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4019264","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015549"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4019264","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015549"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4019264","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015549"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4019264","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015549"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4019264","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4015549"
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4019263","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4019263","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2017-0190","May 2017 Security Updates","2017-05-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4019263","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
