"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2017-8700","November 2017 Security Updates","2017-11-16T08:00:00Z","ASP.NET Core 1.1","Commit","Moderate","Information Disclosure","ASP.NET Core Information Disclosure Vulnerability",
"CVE-2017-8700","November 2017 Security Updates","2017-11-16T08:00:00Z","ASP.NET Core 1.0","Commit","Moderate","Information Disclosure","ASP.NET Core Information Disclosure Vulnerability",
"CVE-2017-11770","November 2017 Security Updates","2017-11-28T08:00:00Z",".NET Core 1.0","Commit","Important","Denial of Service",".NET CORE Denial Of Service Vulnerability",
"CVE-2017-11770","November 2017 Security Updates","2017-11-28T08:00:00Z",".NET Core 1.1","Commit","Important","Denial of Service",".NET CORE Denial Of Service Vulnerability",
"CVE-2017-11770","November 2017 Security Updates","2017-11-28T08:00:00Z",".NET Core 2.0","Commit","Important","Denial of Service",".NET CORE Denial Of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1703 for 32-bit Systems","4048954","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041676"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1703 for x64-based Systems","4048954","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041676"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 for 32-bit Systems","4048956","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042895"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 for x64-based Systems","4048956","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042895"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1511 for 32-bit Systems","4048952","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041689"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1511 for x64-based Systems","4048952","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041689"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4048953","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041691"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 10 Version 1607 for x64-based Systems","4048953","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041691"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2016","4048953","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041691"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2016  (Server Core installation)","4048953","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041691"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4048957","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041681"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4048957","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041681"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4048957","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041681"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4048957","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041681"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4048957","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041681"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4048960","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4048960","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4048960","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4048960","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4048960","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 8.1 for 32-bit systems","4048958","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041693"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 8.1 for x64-based systems","4048958","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041693"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows RT 8.1","4048958","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041693"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 R2","4048958","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041693"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 R2 (Server Core installation)","4048958","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041693"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 8.1 for 32-bit systems","4048961","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows 8.1 for x64-based systems","4048961","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 R2","4048961","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 R2 (Server Core installation)","4048961","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4047211","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042067"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","4047211","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042067"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","4047211","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042067"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","4047211","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042067"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","4047211","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042067"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012","4048959","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041690"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 (Server Core installation)","4048959","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4041690"
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012","4048962","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server 2012 (Server Core installation)","4048962","Important","Denial of Service","Windows Search Denial of Service Vulnerability",
"CVE-2017-11788","November 2017 Security Updates","2017-11-14T08:00:00Z","Windows Server, version 1709  (Server Core Installation)","4048955","Important","Denial of Service","Windows Search Denial of Service Vulnerability","4042198"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","ChakraCore","Commit","Important","Information Disclosure","Scripting Engine Information Disclosure Vulnerability",
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 10 on Windows Server 2012","4048959","Low","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4041690"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 10 on Windows Server 2012","4047206","Low","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4040685"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 9 on Windows Server 2008 for 32-bit Systems Service Pack 2","4047206","Low","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4040685"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 9 on Windows Server 2008 for x64-based Systems Service Pack 2","4047206","Low","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4040685"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","4047206","Important","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4040685"
"CVE-2017-11791","November 2017 Security Updates","2017-11-14T08:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","4047206","Important","Information Disclosure","Scripting Engine Information Disclosure Vulnerability","4040685"
