"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4074598","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability","4056894"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4074598","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability","4056894"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4074598","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability","4056894"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4074598","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability","4056894"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4074598","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability","4056894"
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4074587","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability",
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4074587","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability",
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4074587","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability",
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4074587","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability",
"CVE-2018-0810","February 2018 Security Updates","2018-02-14T08:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4074587","Important","Information Disclosure","Windows Kernel Information Disclosure Vulnerability",
