"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 (32-bit edition)","4011574","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011262"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 (64-bit edition)","4011574","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011262"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2016 (32-bit edition)","4011643","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011575"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2016 (64-bit edition)","4011643","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011575"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 Click-to-Run (C2R) for 32-bit editions","Click to Run","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability",
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 Click-to-Run (C2R) for 64-bit editions","Click to Run","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability",
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2007 Service Pack 3","4011656","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011604"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2010 Service Pack 2 (32-bit editions)","4011610","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011618"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2010 Service Pack 2 (64-bit editions)","4011610","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011618"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2013 Service Pack 1 (32-bit editions)","4011651","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2013 Service Pack 1 (64-bit editions)","4011651","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2013 RT Service Pack 1","4011651","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2013 Service Pack 1 (32-bit editions)","4011651","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2013 Service Pack 1 (64-bit editions)","4011651","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office Compatibility Pack Service Pack 3","4011607","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011265"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2007 Service Pack 3","4011657","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011608"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2010 Service Pack 2 (32-bit editions)","4011659","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011614"
"CVE-2018-0804","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2010 Service Pack 2 (64-bit editions)","4011659","Low","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011614"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 (32-bit edition)","4011574","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011262"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 (64-bit edition)","4011574","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011262"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2016 (32-bit edition)","4011643","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011575"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Word 2016 (64-bit edition)","4011643","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011575"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 Click-to-Run (C2R) for 32-bit editions","Click to Run","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability",
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2016 Click-to-Run (C2R) for 64-bit editions","Click to Run","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability",
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2007 Service Pack 3","4011656","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011604"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2010 Service Pack 2 (32-bit editions)","4011610","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011618"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2010 Service Pack 2 (64-bit editions)","4011610","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011618"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2013 Service Pack 1 (32-bit editions)","4011651","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
"CVE-2018-0805","January 2018 Security Updates","2018-01-09T08:00:00Z","Microsoft Office 2013 Service Pack 1 (64-bit editions)","4011651","Important","Remote Code Execution","Microsoft Office Memory Corruption Vulnerability","4011590"
