"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2018-8292","October 2018 Security Updates","2018-10-09T07:00:00Z",".NET Core 2.1","Commit","Important","Information Disclosure",".NET Core Information Disclosure Vulnerability",
"CVE-2018-8292","October 2018 Security Updates","2018-10-09T07:00:00Z",".NET Core 1.0","Commit","Important","Information Disclosure",".NET Core Information Disclosure Vulnerability",
"CVE-2018-8292","October 2018 Security Updates","2018-10-09T07:00:00Z",".NET Core 1.1","Commit","Important","Information Disclosure",".NET Core Information Disclosure Vulnerability",
"CVE-2018-8292","October 2018 Security Updates","2018-10-09T07:00:00Z","PowerShell Core 6.0","Release Notes","Important","Information Disclosure",".NET Core Information Disclosure Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1809 for x64-based Systems","4464330","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1809 for 32-bit Systems","4464330","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2019","4464330","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2019  (Server Core installation)","4464330","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4462919","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457128"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1803 for x64-based Systems","4462919","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457128"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server, version 1803  (Server Core Installation)","4462919","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457128"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4462918","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457142"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1709 for x64-based Systems","4462918","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457142"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server, version 1709  (Server Core Installation)","4462918","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457142"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4462917","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457131"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4462917","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457131"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2016","4462917","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457131"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2016  (Server Core installation)","4462917","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457131"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4463097","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4458010"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","4463097","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4458010"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","4463097","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4458010"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","4463097","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4458010"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","4463097","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4458010"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4463104","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","4463104","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","4463104","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","4463104","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","4463104","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability",
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4462923","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457144"
"CVE-2018-8320","October 2018 Security Updates","2018-10-09T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4462923","Important","Security Feature Bypass","Windows DNS Security Feature Bypass Vulnerability","4457144"
