"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1703 for x64-based Systems","4457138","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343885"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server, version 1709  (Server Core Installation)","4457142","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343897"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4457131","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343887"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2016","4457131","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343887"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2016  (Server Core installation)","4457131","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343887"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1803 for x64-based Systems","4457128","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343909"
"CVE-2018-0965","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server, version 1803  (Server Core Installation)","4457128","Critical","Remote Code Execution","Windows Hyper-V Remote Code Execution Vulnerability","4343909"
"CVE-2018-8269","September 2018 Security Updates","2019-09-10T07:00:00Z","Microsoft.Data.OData","Release Notes","Important","Denial of Service","OData Denial of Service Vulnerability",
"CVE-2018-8269","September 2018 Security Updates","2019-09-10T07:00:00Z","ASP.NET Core 2.1","Release Notes","Important","Denial of Service","OData Denial of Service Vulnerability",
"CVE-2018-8269","September 2018 Security Updates","2019-09-10T07:00:00Z","ASP.NET Core 2.2","Release Notes","Important","Denial of Service","OData Denial of Service Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1703 for 32-bit Systems","4457138","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343885"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1703 for x64-based Systems","4457138","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343885"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4457128","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343909"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1803 for x64-based Systems","4457128","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343909"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server, version 1803  (Server Core Installation)","4457128","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343909"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4457142","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343897"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1709 for x64-based Systems","4457142","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343897"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server, version 1709  (Server Core Installation)","4457142","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343897"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 for 32-bit Systems","4457132","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343892"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 for x64-based Systems","4457132","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343892"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4457131","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343887"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4457131","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343887"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2016","4457131","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343887"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2016  (Server Core installation)","4457131","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343887"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4457144","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343900"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4457144","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343900"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4457144","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343900"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4457144","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343900"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4457144","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343900"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4457145","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4457145","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4457145","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4457145","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4457145","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 8.1 for 32-bit systems","4457129","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343898"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 8.1 for x64-based systems","4457129","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343898"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows RT 8.1","4457129","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343898"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2012 R2","4457129","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343898"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","4457129","Important","Information Disclosure","Windows Information Disclosure Vulnerability","4343898"
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 8.1 for 32-bit systems","4457143","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows 8.1 for x64-based systems","4457143","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2012 R2","4457143","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","4457143","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
"CVE-2018-8271","September 2018 Security Updates","2018-09-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4458010","Important","Information Disclosure","Windows Information Disclosure Vulnerability",
