"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","ChakraCore","Release Notes","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability",
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems","4493474","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489871"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems","4493474","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489871"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for 32-bit Systems","4493464","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489868"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for x64-based Systems","4493464","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489868"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for ARM64-based Systems","4493464","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489868"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for 32-bit Systems","4493509","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489899"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for x64-based Systems","4493509","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489899"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for ARM64-based Systems","4493509","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489899"
"CVE-2019-0739","April 2019 Security Updates","2019-04-09T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows Server 2019","4493509","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4489899"
