"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1909 for 32-bit Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows Server, version 1909 (Server Core installation)","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1909 for x64-based Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1909 for ARM64-based Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1903 for 32-bit Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1903 for x64-based Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1903 for ARM64-based Systems","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows Server, version 1903 (Server Core installation)","4530684","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4524570"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4530717","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4525237"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1803 for x64-based Systems","4530717","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4525237"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows Server, version 1803  (Server Core Installation)","4530717","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4525237"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1803 for ARM64-based Systems","4530717","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4525237"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1809 for 32-bit Systems","4530715","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4523205"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1809 for x64-based Systems","4530715","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4523205"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1809 for ARM64-based Systems","4530715","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4523205"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows Server 2019","4530715","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4523205"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows Server 2019  (Server Core installation)","4530715","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4523205"
"CVE-2019-1453","December 2019 Security Updates","2019-12-10T08:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4530714","Important","Denial of Service","Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability","4525241"
