"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","ChakraCore","Release Notes","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability",
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for 32-bit Systems","4489871","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487020"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1703 for x64-based Systems","4489871","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487020"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1703 for 32-bit Systems","4489871","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487020"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1703 for x64-based Systems","4489871","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487020"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for 32-bit Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for x64-based Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for ARM64-based Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1803 for 32-bit Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1803 for x64-based Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1803 for ARM64-based Systems","4489868","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487017"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for 32-bit Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for x64-based Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for ARM64-based Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows Server 2019","4489899","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1809 for 32-bit Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1809 for x64-based Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1809 for ARM64-based Systems","4489899","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2019","4489899","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487044"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for 32-bit Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for x64-based Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1709 for ARM64-based Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1709 for 32-bit Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1709 for x64-based Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1709 for ARM64-based Systems","4489886","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486996"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 for 32-bit Systems","4489872","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487018"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 for x64-based Systems","4489872","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487018"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 for 32-bit Systems","4489872","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487018"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 for x64-based Systems","4489872","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487018"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for 32-bit Systems","4489882","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1607 for x64-based Systems","4489882","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows Server 2016","4489882","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for 32-bit Systems","4489882","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 10 Version 1607 for x64-based Systems","4489882","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2016","4489882","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487026"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","4489878","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486563"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","4489878","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486563"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1","4489878","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486563"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 7 for 32-bit Systems Service Pack 1","4489873","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 7 for x64-based Systems Service Pack 1","4489873","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 8.1 for 32-bit systems","4489873","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 8.1 for x64-based systems","4489873","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2008 R2 for x64-based Systems Service Pack 1","4489873","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2012 R2","4489873","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4486474"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 8.1 for 32-bit systems","4489881","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487000"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows 8.1 for x64-based systems","4489881","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487000"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows RT 8.1","4489881","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487000"
"CVE-2019-0609","March 2019 Security Updates","2019-03-12T07:00:00Z","Internet Explorer 11 on Windows Server 2012 R2","4489881","Moderate","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4487000"
"CVE-2019-0611","March 2019 Security Updates","2019-03-12T07:00:00Z","ChakraCore","Release Notes","Important","Information Disclosure","Chakra Scripting Engine Memory Corruption Vulnerability",
