"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2012 for 32-bit Systems Service Pack 4 (QFE)","4532098","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4057113"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2012 for x64-based Systems Service Pack 4 (QFE)","4532098","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4057113"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2014 Service Pack 3 for x64-based Systems (GDR)","4532095","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4505218"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2014 Service Pack 3 for 32-bit Systems (GDR)","4532095","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4505218"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2014 Service Pack 3 for x64-based Systems (CU)","4535288","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4500181"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2014 Service Pack 3 for 32-bit Systems (CU)","4535288","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4500181"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2016 for x64-based Systems Service Pack 2 (CU)","4535706","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4527378"
"CVE-2020-0618","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft SQL Server 2016 for x64-based Systems Service Pack 2 (GDR)","4532097","Important","Remote Code Execution","Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability","4505220"
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","ChakraCore","Release Notes","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability",
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for 32-bit Systems","4537762","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4534293"
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for x64-based Systems","4537762","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4534293"
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1803 for ARM64-based Systems","4537762","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4534293"
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for 32-bit Systems","4532691","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4534273"
"CVE-2020-0767","February 2020 Security Updates","2020-02-11T08:00:00Z","Microsoft Edge (EdgeHTML-based) on Windows 10 Version 1809 for x64-based Systems","4532691","Critical","Remote Code Execution","Scripting Engine Memory Corruption Vulnerability","4534273"
